iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BHS,North America,Bahamas,2024-02-01,38300.0,0.0,5.43,848.0,0.0,0.0,96341.54,0.0,13.66,2133.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,34.3,9.0,5.2,27717.85,,235.95,13.17,3.1,20.4,,2.9,73.92,0.81,409989,,,,
SRB,Europe,Serbia,2023-09-11,2546882.0,0.0,98.0,18057.0,0.0,0.0,375025.8,0.0,14.43,2658.88,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.29,41.2,17.37,,14048.88,,439.42,10.08,37.7,40.2,97.72,5.61,76.0,0.81,6871547,,,,
GNB,Africa,Guinea-Bissau,2023-05-14,9614.0,0.0,0.0,177.0,0.0,0.0,4566.06,0.0,0.0,84.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,498.0,,,,,237.0,0.0,0.0,,66.19,19.4,3.0,1.56,1548.68,67.1,382.47,2.42,,,6.4,,58.32,0.48,2105580,,,,
OWID_SAM,,South America,2022-01-13,41084716.0,0.0,156620.86,1195951.0,0.0,400.29,95436.48,0.0,363.82,2778.1,0.0,0.93,,,,,,,,,,,,,,,,,,,675567445.0,334356898.0,282145089.0,69028401.0,2432556.0,2127634.0,154.66,76.54,64.59,15.8,4871.0,343104.0,0.08,,,,,,,,,,,,,,,,436816679,,,,
GUM,Oceania,Guam,2021-11-22,15062.0,0.0,11.86,262.0,0.0,0.57,91178.2,0.0,71.78,1586.02,0.0,3.46,,,,,,,,,,184741.0,197.0,1083.31,1.16,221.0,1.3,0.05,20.8,tests performed,,,,,,,,,,,,,,,304.13,31.4,9.55,5.49,,,310.5,21.52,,,,,80.07,,171783,,,,
ATG,North America,Antigua and Barbuda,2024-03-31,9106.0,0.0,0.0,146.0,0.0,0.0,98071.1,0.0,0.0,1572.41,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.84,32.1,6.93,4.63,21490.94,,191.51,13.17,,,,3.8,77.02,0.78,93772,,,,
NOR,Europe,Norway,2020-03-21,1364.0,0.0,168.71,1.0,0.0,0.14,249.96,0.0,30.92,0.18,0.0,0.03,1.61,,,148.0,27.23,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,14.46,39.7,16.82,10.81,64800.06,0.2,114.32,5.31,19.6,20.7,,3.6,82.4,0.96,5434324,,,,
OWID_EUN,,European Union (27),2023-04-26,183071127.0,0.0,19783.86,1234665.0,0.0,202.29,407627.78,0.0,44.05,2749.12,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450146793,,,,
AFG,Asia,Afghanistan,2020-04-14,521.0,0.0,35.29,15.0,0.0,1.43,12.84,0.0,0.87,0.37,0.0,0.04,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
IMN,Europe,Isle of Man,2021-07-22,2199.0,0.0,73.14,39.0,0.0,0.0,26133.77,0.0,869.26,463.49,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,480.0,,,,,5678.0,6.0,0.01,,147.87,,,,,,,,,,,,81.4,,84534,,,,
NPL,Asia,Nepal,2020-02-14,5.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1.0,0.0,,,samples tested,,,,,,,,,,,,,,16.67,204.43,25.0,5.81,3.21,2442.8,15.0,260.8,7.26,9.5,37.8,47.78,0.3,70.78,0.6,30547586,,,,
